,,,
Designation ,Experience ,,Description 
 Software Engineer-1,2-4 Years,,
,,,
,,AI Adoption & Responsible Usage (25%),
,,,"Integrates Claude into daily coding, MCP Setup, testing, debugging and documentation"
,,,Measurable task-TAT / throughput improvement with no drop in quality
,,,AI-assisted code passes review at the same or better rate; validates & refactors output
,,,"Effective prompting — provides context, iterates, reuses proven prompt patterns"
,,,Full compliance with usage policy; zero data-handling violations; no over-reliance
,,,Adopts new Claude features and shares learnings with the team
,,,
,,Delivery & Execution (25%),
,,,
,,,Sprint commitment reliability ≥ 85%
,,,
,,,Task completion within timeline
,,,
,,,Estimation accuracy improvement
,,,
,,,Handles bug fixes independently
,,,
,,,Minimal rework after review
,,,
,,,
,,,
,, Code Quality (10%),
,,,Low critical/major code issues
,,,
,,,PR rejection rate < 15%
,,,
,,,Follows coding standards
,,,
,,,Unit test coverage as per team target
,,,
,,,Clean and readable code
,,,
,,,
,,,
,,,
,,Defect & Stability (10%),
,,,
,,,Defect leakage ≤ 8–10%
,,,
,,,Quick bug resolution turnaround
,,,
,,,Proper root cause documentation
,,,
,,,No repeated mistakes pattern
,,,
,, Technical Growth (10%),
,,,
,,,Learns new tools/frameworks
,,,
,,,Participates in design discussions
,,,
,,,Improves debugging capability
,,,
,,,Completes assigned learning roadmap
,,,
,,Collaboration & Communication (10%),
,,,
,,,Clear stand-up updates
,,,
,,,Active in PR discussions
,,,
,,,Good documentation habits
,,,
,,,Works well with QA & DevOps
,,,
,,Process & Discipline (10%),
,,,
,,,Follows branching strategy
,,,
,,,Proper commit messages
,,,
,,,CI/CD understanding
,,,
,,,Secure coding basics
,,,
,,,
,,,
,,,
